"Measurement" "Mean" "Subject" "Activity"
"fBodyAcc.bandsEnergy...49.56" -0.887100969675325 1 "WALKING"
"fBodyAcc.bandsEnergy...57.64" -0.932189370324675 1 "WALKING"
"fBodyAcc.bandsEnergy...1.16" -0.802149729220779 1 "WALKING"
"fBodyAcc.bandsEnergy...25.48" -0.67889722987013 1 "WALKING"
"fBodyAcc.bandsEnergy...1.8.1" -0.672863292207792 1 "WALKING"
"fBodyAcc.bandsEnergy...9.16.1" -0.51226939793052 1 "WALKING"
"fBodyGyro.bandsEnergy...57.64" -0.968227129480519 1 "WALKING"
"fBodyGyro.bandsEnergy...1.16" -0.892107602077922 1 "WALKING"
"fBodyGyro.bandsEnergy...17.32" -0.734444026428571 1 "WALKING"
"fBodyGyro.bandsEnergy...1.8.1" -0.620642436298701 1 "WALKING"
"fBodyGyro.bandsEnergy...9.16.1" -0.950025096038961 1 "WALKING"
"fBodyGyro.bandsEnergy...17.24.1" -0.862195682467532 1 "WALKING"
"fBodyAcc.min...Z" -0.838992133441558 1 "WALKING"
"fBodyAcc.sma.." -0.0924843958561688 1 "WALKING"
"fBodyAcc.energy...X" -0.774307463116883 1 "WALKING"
"fBodyAcc.iqr...Z" -0.50235083012987 1 "WALKING"
"fBodyAcc.entropy...X" 0.606723155194805 1 "WALKING"
"fBodyAcc.entropy...Y" 0.584428301883117 1 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48.2" -0.899277390714286 1 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56.2" -0.873118522142857 1 "WALKING"
"fBodyAccJerk.bandsEnergy...57.64.2" -0.949610558571429 1 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.2" -0.832125860519481 1 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48.2" -0.934388311623377 1 "WALKING"
"fBodyGyro.mean...X" -0.373773749064935 1 "WALKING"
"fBodyAccJerk.bandsEnergy...33.40" -0.861037082922078 1 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48" -0.800712137337662 1 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56" -0.861074422207792 1 "WALKING"
"fBodyAccJerk.bandsEnergy...49.64" -0.857302179350649 1 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24" -0.656007762857143 1 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48" -0.627882734090909 1 "WALKING"
"fBodyAcc.kurtosis...Z" -0.60700348012987 1 "WALKING"
"fBodyAcc.bandsEnergy...17.24" -0.464558046635065 1 "WALKING"
"fBodyGyro.bandsEnergy...1.8" -0.945122053311688 1 "WALKING"
"fBodyGyro.bandsEnergy...25.32" -0.888841784025974 1 "WALKING"
"fBodyAcc.mad...Y" 0.0326294054123377 1 "WALKING"
"fBodyAcc.max...Y" -0.357464705746753 1 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.1" -0.402354666006493 1 "WALKING"
"fBodyAccJerk.bandsEnergy...9.16.2" -0.878463907987013 1 "WALKING"
"fBodyAccJerk.kurtosis...Y" -0.672030354525974 1 "WALKING"
"fBodyAccJerk.bandsEnergy...1.8" -0.845745628376623 1 "WALKING"
